id	prompt	answer	article_family	case	gender	number	mode	gloss	explanation	tags
art_ind_dat_mas	Dativ Maskulinum = ?	einem	indefinite	Dativ	Maskulinum	singular	table	Indefinite dative masculine article	Indefinite dative masculine uses einem.	article;table;core;indefinite;dative;masculine
art_ind_dat_neu	Dativ Neutrum = ?	einem	indefinite	Dativ	Neutrum	singular	table	Indefinite dative neuter article	Indefinite dative neuter uses einem.	article;table;core;indefinite;dative;neuter
art_ind_dat_fem	Dativ Femininum = ?	einer	indefinite	Dativ	Femininum	singular	table	Indefinite dative feminine article	Indefinite dative feminine uses einer.	article;table;core;indefinite;dative;feminine
art_ind_dat_plu	Dativ Plural = ?	none	indefinite	Dativ	Plural	plural	table	Indefinite dative plural no-article form	Indefinite plural has no article in dative.	article;table;core;indefinite;dative;plural;no-article
art_neg_nom_mas	Nominativ Maskulinum = ?	kein	negative	Nominativ	Maskulinum	singular	table	Negative nominative masculine article	Negative nominative masculine uses kein.	article;table;core;negative;nominative;masculine
art_neg_nom_neu	Nominativ Neutrum = ?	kein	negative	Nominativ	Neutrum	singular	table	Negative nominative neuter article	Negative nominative neuter uses kein.	article;table;core;negative;nominative;neuter
art_neg_nom_fem	Nominativ Femininum = ?	keine	negative	Nominativ	Femininum	singular	table	Negative nominative feminine article	Negative nominative feminine uses keine.	article;table;core;negative;nominative;feminine
art_neg_nom_plu	Nominativ Plural = ?	keine	negative	Nominativ	Plural	plural	table	Negative nominative plural article	Negative nominative plural uses keine.	article;table;core;negative;nominative;plural
art_neg_acc_mas	Akkusativ Maskulinum = ?	keinen	negative	Akkusativ	Maskulinum	singular	table	Negative accusative masculine article	Negative accusative masculine changes to keinen.	article;table;core;negative;accusative;masculine
art_neg_acc_neu	Akkusativ Neutrum = ?	kein	negative	Akkusativ	Neutrum	singular	table	Negative accusative neuter article	Negative accusative neuter stays kein.	article;table;core;negative;accusative;neuter
art_neg_acc_fem	Akkusativ Femininum = ?	keine	negative	Akkusativ	Femininum	singular	table	Negative accusative feminine article	Negative accusative feminine stays keine.	article;table;core;negative;accusative;feminine
art_neg_acc_plu	Akkusativ Plural = ?	keine	negative	Akkusativ	Plural	plural	table	Negative accusative plural article	Negative accusative plural stays keine.	article;table;core;negative;accusative;plural
art_neg_dat_mas	Dativ Maskulinum = ?	keinem	negative	Dativ	Maskulinum	singular	table	Negative dative masculine article	Negative dative masculine uses keinem.	article;table;core;negative;dative;masculine
art_neg_dat_neu	Dativ Neutrum = ?	keinem	negative	Dativ	Neutrum	singular	table	Negative dative neuter article	Negative dative neuter uses keinem.	article;table;core;negative;dative;neuter
art_neg_dat_fem	Dativ Femininum = ?	keiner	negative	Dativ	Femininum	singular	table	Negative dative feminine article	Negative dative feminine uses keiner.	article;table;core;negative;dative;feminine
art_neg_dat_plu	Dativ Plural = ?	keinen	negative	Dativ	Plural	plural	table	Negative dative plural article	Negative dative plural uses keinen.	article;table;core;negative;dative;plural
