itemId,sourceFile,sourceRowId,currentStatus,routeExposure,taskType,answerMode,prompt,stimulus,answerKey,acceptedAnswers,explainText,issueType,severity,safeFixAvailable,recommendedAction
b1_vocab_bestellung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe die Bestellung online ___.,Ich habe die Bestellung online ___.,aufgegeben,aufgegeben,eine Bestellung aufgeben = to place an order.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_rechnung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Bitte schicken Sie mir die ___ noch einmal.,Bitte schicken Sie mir die ___ noch einmal.,Rechnung,Rechnung,die Rechnung = invoice/bill.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_rechnung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe die Rechnung schon ___.,Ich habe die Rechnung schon ___.,bezahlt,bezahlt,eine Rechnung bezahlen = to pay an invoice/bill.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_geraet_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Das ___ funktioniert nicht.,Das ___ funktioniert nicht.,Gerät,Gerät,das Gerät = device.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_geraet_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe ein Problem mit dem ___.,Ich habe ein Problem mit dem ___.,Gerät,Gerät,mit + Dativ: mit dem Gerät.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_rueckmeldung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Vielen Dank für Ihre ___.,Vielen Dank für Ihre ___.,Rückmeldung,Rückmeldung,die Rückmeldung = feedback/response.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_rueckmeldung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich warte noch auf Ihre ___.,Ich warte noch auf Ihre ___.,Rückmeldung,Rückmeldung,auf eine Rückmeldung warten = to wait for a response.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_krankheit_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich bin heute ___ und kann nicht zum Kurs kommen.,Ich bin heute ___ und kann nicht zum Kurs kommen.,krank,krank,krank sein = to be ill/sick.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_krankheit_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Wegen meiner ___ kann ich heute nicht arbeiten.,Wegen meiner ___ kann ich heute nicht arbeiten.,Krankheit,Krankheit,die Krankheit = illness; wegen meiner Krankheit = because of my illness.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_krankmeldung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich schicke Ihnen die ___ per E-Mail.,Ich schicke Ihnen die ___ per E-Mail.,Krankmeldung,Krankmeldung,die Krankmeldung = sick note or sickness notification.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_krankmeldung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich muss mich heute leider ___.,Ich muss mich heute leider ___.,krankmelden,krankmelden,sich krankmelden = to report/call in sick.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_arzttermin_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe morgen einen ___ um 10 Uhr.,Ich habe morgen einen ___ um 10 Uhr.,Arzttermin,Arzttermin,der Arzttermin = doctor’s appointment.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_arzttermin_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte einen Arzttermin ___.,Ich möchte einen Arzttermin ___.,vereinbaren,vereinbaren,einen Termin vereinbaren = to arrange an appointment.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_krankenkasse_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich muss meine ___ anrufen.,Ich muss meine ___ anrufen.,Krankenkasse,Krankenkasse,die Krankenkasse = health insurance provider.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_krankenkasse_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Die Unterlagen schicke ich an die ___.,Die Unterlagen schicke ich an die ___.,Krankenkasse,Krankenkasse,an die Krankenkasse = to the health insurance provider.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_versicherung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe eine Frage zu meiner ___.,Ich habe eine Frage zu meiner ___.,Versicherung,Versicherung,die Versicherung = insurance.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_versicherung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich bin bei dieser Krankenkasse ___.,Ich bin bei dieser Krankenkasse ___.,versichert,versichert,versichert sein = to be insured.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_gesundheitskarte_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Bitte bringen Sie Ihre ___ zum Termin mit.,Bitte bringen Sie Ihre ___ zum Termin mit.,Gesundheitskarte,Gesundheitskarte,die Gesundheitskarte = health insurance card.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_gesundheitskarte_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe meine Gesundheitskarte leider ___.,Ich habe meine Gesundheitskarte leider ___.,vergessen,vergessen,etwas vergessen = to forget something.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_rezept_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Der Arzt gibt mir ein ___ für das Medikament.,Der Arzt gibt mir ein ___ für das Medikament.,Rezept,Rezept,das Rezept = prescription or recipe; here: prescription.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_rezept_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Für dieses Medikament brauche ich ein ___.,Für dieses Medikament brauche ich ein ___.,Rezept,Rezept,ein Rezept brauchen = to need a prescription.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_apotheke_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich kaufe das Medikament in der ___.,Ich kaufe das Medikament in der ___.,Apotheke,Apotheke,die Apotheke = pharmacy.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_apotheke_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ist das Medikament in der Apotheke ___?,Ist das Medikament in der Apotheke ___?,vorrätig,vorrätig,vorrätig = in stock/available.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_untersuchung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Die ___ dauert ungefähr zwanzig Minuten.,Die ___ dauert ungefähr zwanzig Minuten.,Untersuchung,Untersuchung,die Untersuchung = examination/check-up.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_untersuchung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Die Ärztin möchte mich ___.,Die Ärztin möchte mich ___.,untersuchen,untersuchen,untersuchen = to examine.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_beschwerden_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Welche ___ haben Sie?,Welche ___ haben Sie?,Beschwerden,Beschwerden,die Beschwerden can mean symptoms/complaints; at the doctor it often means symptoms.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_beschwerden_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe seit drei Tagen ___.,Ich habe seit drei Tagen ___.,Beschwerden,Beschwerden,Beschwerden haben = to have symptoms/problems.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_bewerbung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich schicke Ihnen meine ___ per E-Mail.,Ich schicke Ihnen meine ___ per E-Mail.,Bewerbung,Bewerbung,die Bewerbung = application.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_bewerbung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte mich um die Stelle ___.,Ich möchte mich um die Stelle ___.,bewerben,bewerben,sich um eine Stelle bewerben = to apply for a position.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_lebenslauf_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Mein ___ ist im Anhang.,Mein ___ ist im Anhang.,Lebenslauf,Lebenslauf,der Lebenslauf = CV / résumé.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_lebenslauf_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich muss meinen Lebenslauf noch ___.,Ich muss meinen Lebenslauf noch ___.,aktualisieren,aktualisieren,aktualisieren = to update.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_stelle_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich interessiere mich für die ___.,Ich interessiere mich für die ___.,Stelle,Stelle,die Stelle = job position.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_stelle_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Gibt es in Ihrer Firma eine freie ___?,Gibt es in Ihrer Firma eine freie ___?,Stelle,Stelle,eine freie Stelle = a vacant position.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_erfahrung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe viel ___ im Verkauf.,Ich habe viel ___ im Verkauf.,Erfahrung,Erfahrung,Erfahrung haben in/mit ... = to have experience in/with ...,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_erfahrung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe zwei Jahre ___ in diesem Bereich.,Ich habe zwei Jahre ___ in diesem Bereich.,Berufserfahrung,Berufserfahrung,die Berufserfahrung = professional/work experience.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_aufgabe_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe die ___ noch nicht verstanden.,Ich habe die ___ noch nicht verstanden.,Aufgabe,Aufgabe,die Aufgabe = task/exercise.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_aufgabe_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich muss diese Aufgabe bis morgen ___.,Ich muss diese Aufgabe bis morgen ___.,erledigen,erledigen,eine Aufgabe erledigen = to complete a task.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_besprechung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Die ___ beginnt um neun Uhr.,Die ___ beginnt um neun Uhr.,Besprechung,Besprechung,die Besprechung = meeting/discussion at work.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_besprechung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich nehme morgen an einer Besprechung ___.,Ich nehme morgen an einer Besprechung ___.,teil,teil,an etwas teilnehmen = to take part in something.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_anmeldung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Die ___ für den Kurs ist online möglich.,Die ___ für den Kurs ist online möglich.,Anmeldung,Anmeldung,die Anmeldung = registration.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_anmeldung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte mich für den Kurs ___.,Ich möchte mich für den Kurs ___.,anmelden,anmelden,sich anmelden = to register/sign up.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_zugangsdaten_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe meine ___ noch nicht bekommen.,Ich habe meine ___ noch nicht bekommen.,Zugangsdaten,Zugangsdaten,die Zugangsdaten = login/access details; plural.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
b1_vocab_zugangsdaten_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich kann mich nicht ___.,Ich kann mich nicht ___.,einloggen,einloggen|anmelden,sich einloggen = to log in.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_fehlermeldung_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Auf dem Bildschirm erscheint eine ___.,Auf dem Bildschirm erscheint eine ___.,Fehlermeldung,Fehlermeldung,die Fehlermeldung = error message.,under_contextualised_cloze_without_cue,medium,no,reviewed for false positive or defer
b1_vocab_fehlermeldung_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich bekomme immer wieder eine ___.,Ich bekomme immer wieder eine ___.,Fehlermeldung,Fehlermeldung,eine Fehlermeldung bekommen = to get an error message.,under_contextualised_cloze_without_cue,medium,yes,FIX_SAFE
v080149_cat02_practice_family_cat02_pf_007,content/b1-m01-variant-families.js,cat02-pf-007,active,review_or_unknown,Luecke,typed,Ich bin für den Kurs ___.,Ich bin für den Kurs ___.,angemeldet,angemeldet,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW
v080149_cat14_redemittel_cat14_r_035,content/b1-m14-connectors-sentence-functions.js,cat14-r-035,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? documents,addition,Zusätzlich schicke ich Ihnen eine Kopie.,Zusätzlich schicke ich Ihnen eine Kopie.,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW
v080149_cat15_redemittel_cat15_r_016,content/b1-m15-time-place-movement.js,cat15-r-016,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? building,Give route,Gehen Sie die Treppe hoch.,Gehen Sie die Treppe hoch.,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW
v080149_cat15_redemittel_cat15_r_038,content/b1-m15-time-place-movement.js,cat15-r-038,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? commute,Transport,Ich steige an der Haltestelle aus.,Ich steige an der Haltestelle aus.,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW
v080149_cat15_redemittel_cat15_r_055,content/b1-m15-time-place-movement.js,cat15-r-055,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? navigation,Clarify route,Muss ich über die Straße gehen?,Muss ich über die Straße gehen?,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW
v080149_cat15_redemittel_cat15_r_057,content/b1-m15-time-place-movement.js,cat15-r-057,active,review_or_unknown,Auswahl,selected_choice_value,Welche Form passt? navigation,Describe detour,Wegen der Baustelle gibt es eine Umleitung.,Wegen der Baustelle gibt es eine Umleitung.,,review_only_cloze_cue_unsafe_or_missing,medium,no,EXCEPTION_REVIEW
b1_vocab_vorstellungsgespraech_001,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich habe morgen ein ___.,Ich habe morgen ein ___.,Vorstellungsgespräch,Vorstellungsgespräch,das Vorstellungsgespräch = job interview.,active_runtime_typed_cloze_review,medium,yes,FIX_SAFE
b1_vocab_vorstellungsgespraech_002,content/b1-wortschatz.js,,active,normal_auto_graded_candidate,typed_cloze,typed_cloze,Ich möchte den Termin für das Vorstellungsgespräch ___.,Ich möchte den Termin für das Vorstellungsgespräch ___.,bestätigen,bestätigen,einen Termin bestätigen = to confirm an appointment.,active_runtime_typed_cloze_review,medium,no,reviewed for false positive or defer
