issueType,bankKey,itemId,sourceFile,fieldChanged,beforePrompt,afterPrompt,beforeCue,afterCue,status
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_arzttermin_003,content/b1-wortschatz.js,learnerCue added,Sie kommen wegen eines Arzttermins später. Welche Formulierung passt?,Sie kommen wegen eines Arzttermins später. Welche Formulierung passt?,,Which phrase fits if you are coming later because of a doctor's appointment?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankenkasse_003,content/b1-wortschatz.js,learnerCue added,Sie brauchen Informationen von der Krankenkasse. Welche Bitte passt?,Sie brauchen Informationen von der Krankenkasse. Welche Bitte passt?,,Which question fits if you need information from the health insurance provider?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_versicherung_003,content/b1-wortschatz.js,learnerCue added,"Sie möchten wissen, ob die Versicherung bezahlt. Welche Frage passt?","Sie möchten wissen, ob die Versicherung bezahlt. Welche Frage passt?",,Which question fits if you want to know whether the insurance pays?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_gesundheitskarte_003,content/b1-wortschatz.js,learnerCue added,Die Praxis braucht Ihre Gesundheitskarte. Welche Aufforderung passt?,Die Praxis braucht Ihre Gesundheitskarte. Welche Aufforderung passt?,,Which phrase fits at the doctor's office?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rezept_003,content/b1-wortschatz.js,learnerCue added,Sie möchten ein Rezept in der Apotheke nutzen. Welche Formulierung passt?,Sie möchten ein Rezept in der Apotheke nutzen. Welche Formulierung passt?,,Which phrase fits in the pharmacy?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_apotheke_003,content/b1-wortschatz.js,learnerCue added,Sie bekommen ein Medikament in der Apotheke. Welche Formulierung passt?,Sie bekommen ein Medikament in der Apotheke. Welche Formulierung passt?,,Which phrase fits if you collect medicine at the pharmacy?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_untersuchung_003,content/b1-wortschatz.js,learnerCue added,Sie haben einen Termin für eine medizinische Prüfung. Welche Formulierung passt?,Sie haben einen Termin für eine medizinische Prüfung. Welche Formulierung passt?,,Which phrase fits at the doctor's office?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_beschwerden_003,content/b1-wortschatz.js,learnerCue added,Welche Frage fragt nach Symptomen?,Welche Frage fragt nach Symptomen?,,Which question does a doctor ask?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bewerbung_003,content/b1-wortschatz.js,learnerCue added,Welche Formulierung passt in eine Bewerbungsmail mit Anlagen?,Welche Formulierung passt in eine Bewerbungsmail mit Anlagen?,,Which phrase fits in an application email?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_lebenslauf_003,content/b1-wortschatz.js,learnerCue added,Sie schicken Ihren CV mit. Welche Formulierung passt?,Sie schicken Ihren CV mit. Welche Formulierung passt?,,Which phrase fits if you are sending your CV with the email?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_stelle_003,content/b1-wortschatz.js,learnerCue added,"Sie sagen, dass Sie sich auf die Stelle bewerben. Welche Formulierung passt?","Sie sagen, dass Sie sich auf die Stelle bewerben. Welche Formulierung passt?",,Which phrase fits in a job application?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_vorstellungsgespraech_003,content/b1-wortschatz.js,learnerCue added,Sie antworten auf eine Einladung. Welche Formulierung passt?,Sie antworten auf eine Einladung. Welche Formulierung passt?,,Which phrase fits if you are replying to an invitation?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_erfahrung_003,content/b1-wortschatz.js,learnerCue added,Welche Formulierung passt in eine Bewerbung?,Welche Formulierung passt in eine Bewerbung?,,Which phrase fits in a job application?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_aufgabe_003,content/b1-wortschatz.js,learnerCue added,Sie verstehen eine Aufgabe nicht. Welche Frage passt?,Sie verstehen eine Aufgabe nicht. Welche Frage passt?,,Which question fits if you do not understand a task?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_besprechung_003,content/b1-wortschatz.js,learnerCue added,Das Meeting soll später stattfinden. Welche Formulierung passt?,Das Meeting soll später stattfinden. Welche Formulierung passt?,,Which phrase fits if a meeting should take place later?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_anmeldung_003,content/b1-wortschatz.js,learnerCue added,Sie brauchen eine Bestätigung Ihrer Anmeldung. Welche Bitte passt?,Sie brauchen eine Bestätigung Ihrer Anmeldung. Welche Bitte passt?,,Which phrase fits if you need confirmation of your registration?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_zugangsdaten_003,content/b1-wortschatz.js,learnerCue added,Sie brauchen Ihre Login-Daten noch einmal. Welche Bitte passt?,Sie brauchen Ihre Login-Daten noch einmal. Welche Bitte passt?,,Which phrase fits if you need your login details?,cleaned
meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_fehlermeldung_003,content/b1-wortschatz.js,learnerCue added,Sie beschreiben eine Fehlermeldung beim Login. Welche Formulierung passt?,Sie beschreiben eine Fehlermeldung beim Login. Welche Formulierung passt?,,Which phrase fits if you are describing a problem to support?,cleaned
rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_013,content/b1-m01-variant-families.js,prompt_de and learnerCue cleaned,Welche Form passt zu `show vs find`? | show vs find,Welche Form passt zur Bedeutung?,Show something to someone.,Show something to someone.,cleaned
raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_013,content/b1-m01-variant-families.js,prompt_de and learnerCue cleaned,"Welche Form passt zu `show vs find`? | show vs find | Show something to someone. | zeigen | zeigen | Show something to someone. Check the nearby contrast, not just a related word.",Welche Form passt zur Bedeutung?,Show something to someone.,Show something to someone.,cleaned
raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_013,content/b1-m01-variant-families.js,prompt_de and learnerCue cleaned,"Welche Form passt zu `show vs find`? | show vs find | Show something to someone. | zeigen | zeigen | Show something to someone. Check the nearby contrast, not just a related word.",Welche Form passt zur Bedeutung?,Show something to someone.,Show something to someone.,cleaned
