sourceIssueType,issueType,bankKey,itemId,classification,afterNormalPracticeEligible,afterStatus,afterIssues,runtimeAction,reason
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankheit_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankmeldung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_arzttermin_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_krankenkasse_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_versicherung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_gesundheitskarte_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_rezept_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_apotheke_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_untersuchung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_beschwerden_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_bewerbung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_lebenslauf_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_stelle_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_vorstellungsgespraech_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_erfahrung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_aufgabe_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_besprechung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_anmeldung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_zugangsdaten_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,meaning_choice_hidden_cue_risk,wortschatz,b1_vocab_fehlermeldung_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Meaning-choice item may not expose enough visible learner cue before the answer.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_002,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_002,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_003,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_006,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_006,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_008,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_008,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_010,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_010,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_010,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_012,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_012,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_012,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_014,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_014,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_014,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_015,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_015,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_015,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_016,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_016,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_016,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_017,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_017,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_017,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_018,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_018,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_020,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_020,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_005,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_006,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_052,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_053,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_055,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_056,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_058,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_059,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_060,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_066,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_070,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_073,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_084,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Likely learner-rendered prompt/cue contains source or internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_practice_family_cat02_pf_084,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_001,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_002,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_004,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_004,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_005,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_007,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_008,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_008,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_009,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_010,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_013,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_015,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_x_vs_y_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_015,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains X-vs-Y style internal label.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_016,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_contrast_cat01_cs_018,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_001,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_004,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_005,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_010,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_011,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_012,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_014,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_015,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_018,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_019,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_020,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_028,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_031,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_033,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_044,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_045,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_046,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_049,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_052,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_058,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_059,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_064,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_065,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_066,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_068,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_069,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_070,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_071,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m02,v080149_cat01_practice_family_cat01_pf_072,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
prompt_cue,raw_backtick_or_internal_label,b1_m03,v080149_cat03_practice_family_cat03_pf_006,runtimeGuardAlreadyHandles,true,active-normal,,Active runtime display no longer exposes the static issue in normal practice.,Raw item text contains backtick or internal label pattern.
