issueType,bankKey,itemId,status,routeKey,surface,field,value,reason
feedback_mismatch_risk,wortschatz,b1_vocab_versicherung_004,active,wortschatz,correction,answer/feedback,Die Versicherung bezahlt die Kosten.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_gesundheitskarte_004,active,wortschatz,correction,answer/feedback,Ich habe meine Gesundheitskarte vergessen.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_rezept_004,active,wortschatz,correction,answer/feedback,Ich brauche ein Rezept.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_apotheke_004,active,wortschatz,correction,answer/feedback,Ich gehe zur Apotheke.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_untersuchung_004,active,wortschatz,correction,answer/feedback,Die Untersuchung dauert lange.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_beschwerden_004,active,wortschatz,correction,answer/feedback,Ich habe seit gestern Beschwerden.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_bewerbung_004,active,wortschatz,correction,answer/feedback,Ich möchte mich um die Stelle bewerben.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_lebenslauf_004,active,wortschatz,correction,answer/feedback,Der Lebenslauf ist im Anhang.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_stelle_004,active,wortschatz,correction,answer/feedback,Ich interessiere mich für die Stelle.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_vorstellungsgespraech_004,active,wortschatz,correction,answer/feedback,Ich habe morgen ein Vorstellungsgespräch.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_erfahrung_004,active,wortschatz,correction,answer/feedback,Ich habe Erfahrung im Büro.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_aufgabe_004,active,wortschatz,correction,answer/feedback,Die Aufgabe ist schwierig.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_besprechung_004,active,wortschatz,correction,answer/feedback,Die Besprechung beginnt um neun Uhr.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_anmeldung_004,active,wortschatz,correction,answer/feedback,Ich möchte mich für den Kurs anmelden.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_zugangsdaten_004,active,wortschatz,correction,answer/feedback,Die Zugangsdaten funktionieren nicht.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,wortschatz,b1_vocab_fehlermeldung_004,active,wortschatz,correction,answer/feedback,Ich bekomme eine Fehlermeldung.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_001,active,b1_m01,correction,answer/feedback,am Kurs teilnehmen | original category context only | `teilnehmen` uses `an + dative`: am Kurs teilnehmen.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_002,active,b1_m01,correction,answer/feedback,bei der Übung mitmachen | original category context only | `mitmachen` is separable: ich mache ... mit.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_003,active,b1_m01,contrast,answer/feedback,Deutschkenntnisse verbessern | original category context only | Collocation: use `Deutschkenntnisse verbessern` for improving language skills.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_004,active,b1_m01,correction,answer/feedback,auf B1-Niveau Deutsch lernen | original category context only | Use `auf ... Niveau` for language level.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_006,active,b1_m01,correction,answer/feedback,mit der Aufgabe fertig sein | original category context only | `mit` takes dative: mit der Aufgabe.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_007,active,b1_m01,contrast,answer/feedback,eine Übung machen | original category context only | Use `eine Übung machen` for doing an exercise.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_008,active,b1_m01,production,answer/feedback,"etwas bitte wiederholen / erklären / buchstabieren | original category context only | Choose the help verb by function: `wiederholen` = say again, `erklären` = explain, `buchstabieren` = spell letters.",Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_collocation_cat02_coll_008,active,b1_m01,production,production_answer_fields,etwas bitte wiederholen / erklären / buchstabieren | etwas bitte wiederholen / erklären / buchstabieren | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_009,active,b1_m01,contrast,answer/feedback,Unterlagen mitbringen | original category context only | `mitbringen` means bring along.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_010,active,b1_m01,correction,answer/feedback,ein Formular ausfüllen | original category context only | Separable verb: ich fülle das Formular aus.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_011,active,b1_m01,correction,answer/feedback,ein Arbeitsblatt abgeben | original category context only | Separable verb: ich gebe das Arbeitsblatt ab.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_013,active,b1_m01,correction,answer/feedback,sich Notizen machen | original category context only | Reflexive phrase: `Ich mache mir Notizen.`,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_015,active,b1_m01,correction,answer/feedback,sich kurz vorstellen | original category context only | Reflexive and separable: `Ich stelle mich vor.`,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_016,active,b1_m01,contrast,answer/feedback,den Kursraum suchen / finden | original category context only | `suchen` takes an accusative object: den Kursraum.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_017,active,b1_m01,contrast,answer/feedback,in der Pause / zum Pausenraum gehen | original category context only | Use movement with `zu`: zum Pausenraum gehen.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_018,active,b1_m01,contrast,answer/feedback,"der richtige Ansprechpartner | original category context only | Match gender: der Ansprechpartner, die Ansprechpartnerin.",Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_019,active,b1_m01,correction,answer/feedback,am Empfang warten | original category context only | Fixed place phrase: `am Empfang`.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_020,active,b1_m01,contrast,answer/feedback,im Sekretariat fragen | original category context only | Place phrase: `im Sekretariat`.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_021,active,b1_m01,correction,answer/feedback,einen Stift brauchen | original category context only | `brauchen` takes accusative: einen Stift.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_024,active,b1_m01,contrast,answer/feedback,im Team arbeiten | original category context only | Fixed phrase: `im Team arbeiten`.,Static check found missing or potentially mismatched answer/feedback fields.
feedback_mismatch_risk,b1_m01,v080149_cat02_collocation_cat02_coll_025,active,b1_m01,contrast,answer/feedback,in der Gruppe arbeiten | original category context only | Use article in the phrase: `in der Gruppe`.,Static check found missing or potentially mismatched answer/feedback fields.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_001,active,b1_m01,contrast,feedback/rule,"`Kurs` is the whole course. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_002,active,b1_m01,contrast,feedback/rule,"The course leader leads the course. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_003,active,b1_m01,contrast,feedback/rule,"A colleague is a workplace peer. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_004,active,b1_m01,contrast,feedback/rule,"`Empfang` is the reception desk. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_005,active,b1_m01,contrast,feedback/rule,"`Eingang` is entrance. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_006,active,b1_m01,contrast,feedback/rule,"The course room is for the course. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_007,active,b1_m01,contrast,feedback/rule,"`nachfragen` means ask/check again. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_008,active,b1_m01,contrast,feedback/rule,"Repeat means say it again. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_009,active,b1_m01,contrast,feedback/rule,"Bring along to the place. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_010,active,b1_m01,contrast,feedback/rule,"Fill in a whole form/field. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_011,active,b1_m01,contrast,feedback/rule,"Participate in the course/activity. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_012,active,b1_m01,contrast,feedback/rule,"Need states a requirement. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_013,active,b1_m01,contrast,feedback/rule,"Show something to someone. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_014,active,b1_m01,contrast,feedback/rule,"Finished means task is done. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_015,active,b1_m01,contrast,feedback/rule,"Skills/knowledge of German. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_016,active,b1_m01,contrast,feedback/rule,"Documents/materials as a set. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_017,active,b1_m01,contrast,feedback/rule,"An app is a program. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_018,active,b1_m01,contrast,feedback/rule,"Group work in a course. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
generic_contrast_feedback_active,b1_m01,v080149_cat02_contrast_cat02_cs_020,active,b1_m01,contrast,feedback/rule,"Polite Sie-request for course/work. Check the nearby contrast, not just a related word.",Active normal-practice feedback contains generic contrast wording.
feedback_mismatch_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_077,active,b1_m01,production,answer/feedback,self_check | Self-marked | Self-check: Did you say you are new and use a complete sentence?,Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_077,active,b1_m01,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_078,active,b1_m01,production,answer/feedback,self_check | Self-marked | Self-check: Did you ask for a place with `Wo ist ...?`,Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_078,active,b1_m01,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_079,active,b1_m01,production,answer/feedback,self_check | Self-marked | Self-check: Did you ask politely and include `bitte`?,Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_079,active,b1_m01,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_080,active,b1_m01,production,answer/feedback,self_check | Self-marked | Self-check: Did you use a polite request?,Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_080,active,b1_m01,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_081,active,b1_m01,production,answer/feedback,self_check | Self-marked | Self-check: Did you state what you need?,Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_081,active,b1_m01,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_082,active,b1_m01,production,answer/feedback,self_check | Self-marked | Self-check: Did you ask for the contact person?,Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_082,active,b1_m01,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_083,active,b1_m01,production,answer/feedback,self_check | Self-marked | Self-check: Did you say what you did not understand?,Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_083,active,b1_m01,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
feedback_mismatch_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_084,active,b1_m01,production,answer/feedback,self_check | Self-marked | Self-check: Did you say you are new and ask for the next place?,Static check found missing or potentially mismatched answer/feedback fields.
production_auto_grading_risk,b1_m01,v080149_cat02_practice_family_cat02_pf_084,active,b1_m01,production,production_answer_fields,self_check | self_check,Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_001,active,b1_m01,production,production_answer_fields,Ich bin neu im Kurs. | Ich bin neu im Kurs. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_002,active,b1_m01,production,production_answer_fields,Ich bin neu in der Firma. | Ich bin neu in der Firma. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_003,active,b1_m01,production,production_answer_fields,Ich bin heute zum ersten Mal hier. | Ich bin heute zum ersten Mal hier. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_004,active,b1_m01,production,production_answer_fields,Ich mache gerade einen Deutschkurs. | Ich mache gerade einen Deutschkurs. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_005,active,b1_m01,production,production_answer_fields,Ich lerne Deutsch auf B1-Niveau. | Ich lerne Deutsch auf B1-Niveau. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_006,active,b1_m01,production,production_answer_fields,Ich möchte meine Deutschkenntnisse verbessern. | Ich möchte meine Deutschkenntnisse verbessern. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_009,active,b1_m01,production,production_answer_fields,Ich stelle mich kurz vor. | Ich stelle mich kurz vor. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_010,active,b1_m01,production,production_answer_fields,"Das ist meine Kollegin, Frau Weber. | Das ist meine Kollegin, Frau Weber. | [object Object] | [object Object] | [object Object] | [object Object]",Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_011,active,b1_m01,production,production_answer_fields,Wo ist der Kursraum? | Wo ist der Kursraum? | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_012,active,b1_m01,production,production_answer_fields,Wo finde ich das Sekretariat? | Wo finde ich das Sekretariat? | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_013,active,b1_m01,production,production_answer_fields,Ist das der richtige Raum? | Ist das der richtige Raum? | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_014,active,b1_m01,production,production_answer_fields,"Können Sie mir bitte zeigen, wo der Eingang ist? | Können Sie mir bitte zeigen, wo der Eingang ist? | [object Object] | [object Object] | [object Object] | [object Object]",Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_015,active,b1_m01,production,production_answer_fields,Ich suche den Pausenraum. | Ich suche den Pausenraum. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_016,active,b1_m01,production,production_answer_fields,Ich warte am Empfang. | Ich warte am Empfang. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_017,active,b1_m01,production,production_answer_fields,Ich gehe zum Sekretariat. | Ich gehe zum Sekretariat. | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
production_auto_grading_risk,b1_m01,v080149_cat02_redemittel_cat02_r_018,active,b1_m01,production,production_answer_fields,Wer ist der richtige Ansprechpartner? | Wer ist der richtige Ansprechpartner? | [object Object] | [object Object] | [object Object] | [object Object],Production card has answer/choice fields that could be confused with auto-grading.
