itemId,sourceFile,classification,fieldChanged,beforeExplainText,afterExplainText,answerKey,acceptedAnswers,sourceCleanupBatch,passFail,notes
b1_vocab_krankenkasse_002,b1-wortschatz.js,FIX_SAFE,micro_rule,an die Krankenkasse = to the health insurance provider.,Completed: an die Krankenkasse schicken. an + destination takes accusative here: die Krankenkasse.,Krankenkasse,"[""Krankenkasse""]",v0.85.7-under-contextualised-clozes,PASS,Explain destination case in the item context.
b1_vocab_versicherung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Versicherung = insurance.,Completed: eine Frage zu meiner Versicherung. Versicherung means insurance.,Versicherung,"[""Versicherung""]",v0.85.7-under-contextualised-clozes,PASS,Tie Versicherung to a question about insurance.
b1_vocab_gesundheitskarte_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Gesundheitskarte = health insurance card.,Completed: die Gesundheitskarte zum Arzttermin mitbringen. Gesundheitskarte is the health insurance card.,Gesundheitskarte,"[""Gesundheitskarte""]",v0.85.7-under-contextualised-clozes,PASS,Tie Gesundheitskarte to bringing it to the appointment.
b1_vocab_untersuchung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Untersuchung = examination/check-up.,Completed: Die Untersuchung dauert zwanzig Minuten. Untersuchung is a medical examination or check-up.,Untersuchung,"[""Untersuchung""]",v0.85.7-under-contextualised-clozes,PASS,Tie Untersuchung to medical appointment context.
b1_vocab_beschwerden_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Beschwerden can mean symptoms/complaints; at the doctor it often means symptoms.,"Completed: Welche Beschwerden haben Sie? At the doctor, Beschwerden usually means symptoms.",Beschwerden,"[""Beschwerden""]",v0.85.7-under-contextualised-clozes,PASS,Keep the medical-context meaning without a broad lecture.
b1_vocab_bewerbung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Bewerbung = application.,Completed: meine Bewerbung per E-Mail schicken. Bewerbung is the application for a job or position.,Bewerbung,"[""Bewerbung""]",v0.85.7-under-contextualised-clozes,PASS,Tie Bewerbung to job application context.
b1_vocab_lebenslauf_001,b1-wortschatz.js,FIX_SAFE,micro_rule,der Lebenslauf = CV / résumé.,Completed: Mein Lebenslauf ist im Anhang. Lebenslauf is the CV attached to an application.,Lebenslauf,"[""Lebenslauf""]",v0.85.7-under-contextualised-clozes,PASS,Tie Lebenslauf to application attachment context.
b1_vocab_stelle_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Stelle = job position.,Completed: sich für die Stelle interessieren. Stelle means job position.,Stelle,"[""Stelle""]",v0.85.7-under-contextualised-clozes,PASS,Tie Stelle to interest in a position.
b1_vocab_vorstellungsgespraech_001,b1-wortschatz.js,FIX_SAFE,micro_rule,das Vorstellungsgespräch = job interview.,Completed: ein Vorstellungsgespräch bei der Firma. Vorstellungsgespräch is a job interview.,Vorstellungsgespräch,"[""Vorstellungsgespräch""]",v0.85.7-under-contextualised-clozes,PASS,Tie Vorstellungsgespräch to company interview context.
b1_vocab_aufgabe_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Aufgabe = task/exercise.,Completed: die Aufgabe noch nicht verstanden. Aufgabe means the task or exercise.,Aufgabe,"[""Aufgabe""]",v0.85.7-under-contextualised-clozes,PASS,Tie Aufgabe to not understanding the task.
b1_vocab_besprechung_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Besprechung = meeting/discussion at work.,Completed: Die Besprechung beginnt um neun Uhr. Besprechung is a meeting or work discussion.,Besprechung,"[""Besprechung""]",v0.85.7-under-contextualised-clozes,PASS,Tie Besprechung to team meeting time.
b1_vocab_zugangsdaten_001,b1-wortschatz.js,FIX_SAFE,micro_rule,die Zugangsdaten = login/access details; plural.,Completed: meine Zugangsdaten noch nicht bekommen. Zugangsdaten is plural login/access details.,Zugangsdaten,"[""Zugangsdaten""]",v0.85.7-under-contextualised-clozes,PASS,Tie Zugangsdaten to login/access details not yet received.
b1_vocab_fehlermeldung_002,b1-wortschatz.js,FIX_SAFE,micro_rule,eine Fehlermeldung bekommen = to get an error message.,Completed: eine Fehlermeldung bekommen. Fehlermeldung is the error message shown by the system.,Fehlermeldung,"[""Fehlermeldung""]",v0.85.7-under-contextualised-clozes,PASS,Tie Fehlermeldung to system login error context.
