sampleReason,currentSourceFile,currentItemId,v02RowId,matchStatus,v02Decision,proposedBucket,proposedAction,currentTaskType,currentResponseSurface,targetFamily,hasV02ReplacementFields,replacementFieldList,quarantineReason,productionReason,riskFlag,notes
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_016,cat02-coll-016,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_016,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31490
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_017,cat02-coll-017,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_017,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31491
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_018,cat02-coll-018,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_018,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31492
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_019,cat02-coll-019,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_019,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31493
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_020,cat02-coll-020,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_020,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31494
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_021,cat02-coll-021,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_021,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31495
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_024,cat02-coll-024,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_024,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31498
Core Safe unchanged,content/b1-m01-variant-families.js,v080149_cat02_collocation_cat02_coll_025,cat02-coll-025,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-collocation-cat02_coll_025,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31499
quarantine candidate,content/b1-m08-orders-delivery.js,v080149_cat08_collocation_cat08_coll_020,cat08-coll-020,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT08-collocation-cat08_coll_020,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 45850
quarantine candidate,content/b1-m08-orders-delivery.js,v080149_cat08_collocation_cat08_coll_023,cat08-coll-023,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT08-collocation-cat08_coll_023,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 45853
quarantine candidate,content/b1-m08-orders-delivery.js,v080149_cat08_collocation_cat08_coll_024,cat08-coll-024,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT08-collocation-cat08_coll_024,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 45854
quarantine candidate,content/b1-m08-orders-delivery.js,v080149_cat08_collocation_cat08_coll_034,cat08-coll-034,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT08-collocation-cat08_coll_034,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 45864
quarantine candidate,content/b1-m08-orders-delivery.js,v080149_cat08_collocation_cat08_coll_038,cat08-coll-038,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT08-collocation-cat08_coll_038,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 45868
quarantine candidate,content/b1-m08-orders-delivery.js,v080149_cat08_collocation_cat08_coll_039,cat08-coll-039,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT08-collocation-cat08_coll_039,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 45869
quarantine candidate,content/b1-m08-orders-delivery.js,v080149_cat08_collocation_cat08_coll_040,cat08-coll-040,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT08-collocation-cat08_coll_040,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 45870
quarantine candidate,content/b1-m11-colleague-feedback-conflict.js,v080149_cat11_collocation_coll_cat11_021,coll-cat11-021,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT11-collocation-coll_cat11_021,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 53807
quarantine candidate,content/b1-m11-colleague-feedback-conflict.js,v080149_cat11_collocation_coll_cat11_029,coll-cat11-029,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT11-collocation-coll_cat11_029,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 53815
quarantine candidate,content/b1-m11-colleague-feedback-conflict.js,v080149_cat11_collocation_coll_cat11_036,coll-cat11-036,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT11-collocation-coll_cat11_036,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 53822
quarantine candidate,content/b1-m11-colleague-feedback-conflict.js,v080149_cat11_collocation_coll_cat11_037,coll-cat11-037,matched,review_downgrade_defer_cut_or_unresolved,Quarantine,exclude from normal practice,Auswahl,selected_choice_value,CAT11-collocation-coll_cat11_037,false,,review_downgrade_defer_cut_or_unresolved,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 53823
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_002,cat04-coll-002,matched,review_candidate_after_schema_qa | cloze; repair; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_002,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35195
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_003,cat04-coll-003,matched,review_candidate_after_schema_qa | choice; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_003,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35196
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_004,cat04-coll-004,matched,review_candidate_after_schema_qa | recognition; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_004,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35197
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_006,cat04-coll-006,matched,review_candidate_after_schema_qa | cloze; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_006,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35199
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_013,cat04-coll-013,matched,review_candidate_after_schema_qa | repair; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_013,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35206
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_014,cat04-coll-014,matched,review_candidate_after_schema_qa | cloze; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_014,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35207
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_016,cat04-coll-016,matched,review_candidate_after_schema_qa | cloze; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_016,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35209
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_019,cat04-coll-019,matched,review_candidate_after_schema_qa | choice; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_019,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35212
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_022,cat04-coll-022,matched,review_candidate_after_schema_qa | choice; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_022,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35215
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_023,cat04-coll-023,matched,review_candidate_after_schema_qa | cloze; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_023,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35216
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_024,cat04-coll-024,matched,review_candidate_after_schema_qa | recognition; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_024,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35217
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_026,cat04-coll-026,matched,review_candidate_after_schema_qa | recognition; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_026,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35219
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_027,cat04-coll-027,matched,review_candidate_after_schema_qa | cloze; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_027,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35220
production candidate,content/b1-m04-applications.js,v080149_cat04_collocation_cat04_coll_030,cat04-coll-030,matched,review_candidate_after_schema_qa | satzbau; production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Auswahl,selected_choice_value,CAT04-collocation-cat04_coll_030,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35223
production candidate,content/b1-m04-applications.js,v080149_cat04_practice_family_cat04_pf_097,cat04-pf-097,matched,not_review_eligible | production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Produktion,mark_practised,CAT04-practice_family-cat04_pf_097,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35372
production candidate,content/b1-m04-applications.js,v080149_cat04_practice_family_cat04_pf_098,cat04-pf-098,matched,not_review_eligible | production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Produktion,mark_practised,CAT04-practice_family-cat04_pf_098,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35373
production candidate,content/b1-m04-applications.js,v080149_cat04_practice_family_cat04_pf_099,cat04-pf-099,matched,not_review_eligible | production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Produktion,mark_practised,CAT04-practice_family-cat04_pf_099,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35374
production candidate,content/b1-m04-applications.js,v080149_cat04_practice_family_cat04_pf_100,cat04-pf-100,matched,not_review_eligible | production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Produktion,mark_practised,CAT04-practice_family-cat04_pf_100,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35375
production candidate,content/b1-m04-applications.js,v080149_cat04_practice_family_cat04_pf_101,cat04-pf-101,matched,not_review_eligible | production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Produktion,mark_practised,CAT04-practice_family-cat04_pf_101,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35376
production candidate,content/b1-m04-applications.js,v080149_cat04_practice_family_cat04_pf_102,cat04-pf-102,matched,not_review_eligible | production,Production Practice,exclude from normal auto-graded practice; route later to separate self-marked Production Practice,Produktion,mark_practised,CAT04-practice_family-cat04_pf_102,false,,,production/self-marked indicators in current or v0.2 row,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 35377
known screenshot/problem row,content/b1-cases-articles.js,b1_cases_articles_v0841_variable_001,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Reparatur,edit_text,cases_articles_v0841_variable_acc_masc_location,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
known screenshot/problem row,content/b1-m01-variant-families.js,v080149_cat02_contrast_cat02_cs_013,cat02-cs-013,matched,keep_as_is_or_usable,Core Safe,keep current row unchanged,Auswahl,selected_choice_value,CAT02-contrast-cat02_cs_013,false,,,,duplicate_v02_id_conflicting_decisions,v0.2 CSV row 31512
known screenshot/problem row,content/b1-word-order.js,b1_word_order_main_clause_v2_time_002,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,Satzbau,typed,word_order_main_clause_v2_time,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
known screenshot/problem row,content/b1-wortschatz.js,b1_vocab_termin_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,phrase_choice,,,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
known screenshot/problem row,content/b1-wortschatz.js,b1_vocab_bestaetigung_003,,unmatched_current,,Exception,manual review: no exact v0.2 source_row_id match,phrase_choice,,,false,,,,no_v02_row,No exact source_row_id match in v0.2 source rows.
