queueId,itemId,sourceRowId,sourceFile,originQueueFile,originVersion,issueType,issueCodes,currentManifestStatus,currentRouteKey,currentModuleKey,currentContentBankKey,currentTaskType,currentAnswerMode,currentResponseSurface,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,sourceCleanupBatch,feedbackCleanupBatch,metadataProvenance,metadataConfidence,currentResolutionBucket,currentResolutionReason,recommendedNextAction,riskLevel
rq-07954,b1_vocab_rueckmeldung_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07955,b1_vocab_rueckmeldung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07956,b1_vocab_krankheit_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07957,b1_vocab_krankheit_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07959,b1_vocab_krankmeldung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07961,b1_vocab_arzttermin_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07965,b1_vocab_versicherung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07967,b1_vocab_gesundheitskarte_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07968,b1_vocab_rezept_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07969,b1_vocab_rezept_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07970,b1_vocab_apotheke_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07971,b1_vocab_apotheke_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07973,b1_vocab_untersuchung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07975,b1_vocab_beschwerden_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07977,b1_vocab_bewerbung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07979,b1_vocab_lebenslauf_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07981,b1_vocab_stelle_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07982,b1_vocab_erfahrung_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07983,b1_vocab_erfahrung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07985,b1_vocab_aufgabe_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07987,b1_vocab_besprechung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07988,b1_vocab_anmeldung_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07989,b1_vocab_anmeldung_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07991,b1_vocab_zugangsdaten_002,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-07992,b1_vocab_fehlermeldung_001,,wortschatz,docs/qa/v0.85.4_completion_gate_cloze_cue_issues.csv,v0.85.4,under_contextualised_cloze_without_cue,Short cloze prompt has no visible cue field.,found,wortschatz,wortschatz,wortschatz,typed_cloze,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08010,b1_redemittel_073,,redemittel,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,redemittel,redemittel,redemittel,phrase_choice,selected_choice_value,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08025,b1_vocab_termin_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,phrase_choice,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08026,b1_vocab_bestaetigung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08027,b1_vocab_unterlagen_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08028,b1_vocab_formular_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08029,b1_vocab_beschwerde_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08030,b1_vocab_lieferung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08031,b1_vocab_bestellung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08032,b1_vocab_rechnung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08033,b1_vocab_geraet_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08034,b1_vocab_rueckmeldung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08035,b1_vocab_krankheit_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08036,b1_vocab_krankmeldung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08037,b1_vocab_arzttermin_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08038,b1_vocab_krankenkasse_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08039,b1_vocab_versicherung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08040,b1_vocab_gesundheitskarte_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08041,b1_vocab_rezept_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08042,b1_vocab_apotheke_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08043,b1_vocab_untersuchung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08044,b1_vocab_beschwerden_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
rq-08045,b1_vocab_bewerbung_004,,wortschatz,docs/qa/v0.85.4_completion_gate_feedback_issues.csv,v0.85.4,feedback_mismatch_risk,Static check found missing or potentially mismatched answer/feedback fields.,found,wortschatz,wortschatz,wortschatz,error_repair,,,,,,,,,,deterministic_default,high,ACTIVE_NEEDS_TARGETED_REPAIR,Active normal-practice candidate still has an unresolved targeted issue class.,Repair in a targeted content cleanup patch; do not rewrite in this queue-resolution pass.,high
