itemId,sourceFile,sourceRowId,currentStatus,routeExposure,taskType,answerMode,prompt,stimulus,answerKey,acceptedAnswers,currentExplainText,targetFamily,learningTarget,issueType,severity,safeFixAvailable,recommendedAction,classification,decision,decisionReason
b1_vocab_lebenslauf_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Bei meiner Bewerbung: Mein ___ ist im Anhang.,,Lebenslauf,"[""Lebenslauf""]",Completed: Mein Lebenslauf ist im Anhang. Lebenslauf is the CV attached to an application.,lebenslauf,der Lebenslauf,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_stelle_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Ich suche Arbeit und interessiere mich für die ___.,,Stelle,"[""Stelle""]",Completed: sich für die Stelle interessieren. Stelle means job position.,stelle,die Stelle,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_vorstellungsgespraech_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Ich habe morgen ein ___ bei der Firma.,,Vorstellungsgespräch,"[""Vorstellungsgespräch""]",Completed: ein Vorstellungsgespräch bei der Firma. Vorstellungsgespräch is a job interview.,vorstellungsgespraech,das Vorstellungsgespräch,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_aufgabe_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Im Kurs habe ich die ___ noch nicht verstanden.,,Aufgabe,"[""Aufgabe""]",Completed: die Aufgabe noch nicht verstanden. Aufgabe means the task or exercise.,aufgabe,die Aufgabe,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_besprechung_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Die ___ mit dem Team beginnt um neun Uhr.,,Besprechung,"[""Besprechung""]",Completed: Die Besprechung beginnt um neun Uhr. Besprechung is a meeting or work discussion.,besprechung,die Besprechung,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_zugangsdaten_001,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Für den Online-Kurs habe ich meine ___ noch nicht bekommen.,,Zugangsdaten,"[""Zugangsdaten""]",Completed: meine Zugangsdaten noch nicht bekommen. Zugangsdaten is plural login/access details.,zugangsdaten,die Zugangsdaten,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_vocab_fehlermeldung_002,b1-wortschatz.js,,active,normal_auto_graded,typed_cloze,,Beim Einloggen bekomme ich immer wieder eine ___.,,Fehlermeldung,"[""Fehlermeldung""]",Completed: eine Fehlermeldung bekommen. Fehlermeldung is the error message shown by the system.,fehlermeldung,eine Fehlermeldung bekommen,definition_only_micro_rule_after_cloze_cleanup,high,yes,replace with completed phrase plus one micro-rule,FIX_SAFE,FIX_SAFE,Safe one-line feedback replacement; task/answer already clear.
b1_connector_116,b1-connectors.js,,active,production_only,production_card,,"Sprechen/Schreiben: Erklären Sie, warum Sie heute nicht zur Arbeit kommen können. Verwenden Sie einmal weil.","Ich kann heute nicht zur Arbeit kommen, weil ich krank bin.",self_check,"[""self_check""]",Production card: use the target connector actively in a short B1-relevant response.,production_reason,kausal_konnektoren,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_connector_117,b1-connectors.js,,active,production_only,production_card,,"Sprechen/Schreiben: Sagen Sie, dass Sie wenig Erfahrung haben, aber sich trotzdem bewerben. Verwenden Sie obwohl oder trotzdem.","Obwohl ich noch wenig Erfahrung habe, bewerbe ich mich für die Stelle.",self_check,"[""self_check""]",Production card: use the target connector actively in a short B1-relevant response.,production_contrast,konzessiv_konnektoren,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_connector_118,b1-connectors.js,,active,production_only,production_card,,"Sprechen/Schreiben: Erklären Sie, warum Sie anrufen. Verwenden Sie um ... zu oder damit.","Ich rufe an, um einen Termin zu vereinbaren.",self_check,"[""self_check""]",Production card: use the target connector actively in a short B1-relevant response.,production_purpose,finalsaetze,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_connector_119,b1-connectors.js,,active,production_only,production_card,,"Sprechen/Schreiben: Beschreiben Sie kurz, was Sie machen, bevor Sie nach Hause gehen.","Bevor ich nach Hause gehe, räume ich meinen Arbeitsplatz auf.",self_check,"[""self_check""]",Production card: use the target connector actively in a short B1-relevant response.,production_time,temporalsaetze,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_connector_120,b1-connectors.js,,active,production_only,production_card,,Sprechen/Schreiben: Beschreiben Sie zwei Schritte bei einer Bestellung. Verwenden Sie nachdem.,"Nachdem wir die Ware geprüft haben, schicken wir die Rechnung.",self_check,"[""self_check""]",Production card: use the target connector actively in a short B1-relevant response.,production_sequence,temporalsaetze,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_073,b1-redemittel.js,,active,normal_auto_graded_or_route_dependent,phrase_choice,selected_choice_value,"Welche Form sagt klar, wann Sie wiederkommen können?",Ich kann erst morgen wieder kommen.,Ich kann erst morgen wiederkommen.,"[""Ich kann erst morgen wiederkommen.""]",„Erst morgen wieder“ states the earliest possible return clearly.,red_illness_return,redemittel,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_redemittel_084,b1-redemittel.js,,active,production_only,production_card,,"Schreiben/Sprechen: Bitten Sie darum, einen Termin zu verschieben.",Der Termin am Freitag passt mir leider nicht. Könnten wir den Termin verschieben? Hätten Sie vielleicht einen anderen Termin?,self_check,"[""self_check""]","Use the phrases actively, then mark the card practised.",red_prod_appointment,redemittel,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_085,b1-redemittel.js,,active,production_only,production_card,,Schreiben/Sprechen: Schreiben Sie eine kurze formelle E-Mail mit Dank und Schluss.,Vielen Dank für Ihre Nachricht. Ich freue mich auf Ihre Antwort. Mit freundlichen Grüßen,self_check,"[""self_check""]","Use the phrases actively, then mark the card practised.",red_prod_email,redemittel,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_086,b1-redemittel.js,,active,production_only,production_card,,Schreiben/Sprechen: Melden Sie sich bei der Arbeit krank.,"Guten Morgen, ich muss mich leider krank melden. Ich bin krank und kann heute nicht kommen. Ich kann erst morgen wieder kommen.",self_check,"[""self_check""]","Use the phrases actively, then mark the card practised.",red_prod_illness,redemittel,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_087,b1-redemittel.js,,active,production_only,production_card,,Schreiben/Sprechen: Beschweren Sie sich höflich über eine Lieferung.,Leider gibt es ein Problem mit der Lieferung. Die Lieferung ist noch nicht angekommen. Ich bitte Sie um eine schnelle Lösung.,self_check,"[""self_check""]","Use the phrases actively, then mark the card practised.",red_prod_complaint,redemittel,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_088,b1-redemittel.js,,active,production_only,production_card,,Schreiben/Sprechen: Formulieren Sie zwei Sätze für eine Bewerbung.,Hiermit bewerbe ich mich um die Stelle. Ich interessiere mich für die Ausbildung und würde gern bei Ihnen arbeiten.,self_check,"[""self_check""]","Use the phrases actively, then mark the card practised.",red_prod_application,redemittel,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_089,b1-redemittel.js,,active,production_only,production_card,,Schreiben/Sprechen: Bitten Sie höflich um Hilfe.,Könnten Sie mir bitte helfen? Ich brauche Hilfe bei dem Formular. Ich hätte gern mehr Informationen.,self_check,"[""self_check""]","Use the phrases actively, then mark the card practised.",red_prod_request,redemittel,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_redemittel_090,b1-redemittel.js,,active,production_only,production_card,,Schreiben/Sprechen: Fragen Sie höflich nach Informationen.,"Ich möchte mich erkundigen, ob der Kurs noch frei ist. Könnten Sie mir bitte weitere Informationen schicken?",self_check,"[""self_check""]","Use the phrases actively, then mark the card practised.",red_prod_information,redemittel,feedback_mismatch_risk,medium,no,defer: production semantics are intentionally self-marked,QUARANTINE_OR_DEFER,QUARANTINE_OR_DEFER,Not safe for this feedback-only patch or production/quarantine semantics involved.
b1_vocab_termin_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,phrase_choice,,Welche Form ist in Praxis/Büro standardsprachlich besser?,,Ich vereinbare einen Termin beim Arzt.,"[""Ich vereinbare einen Termin beim Arzt.""]",„Einen Termin vereinbaren“ is the standard phrase; „machen“ should not be marked as a simple grammar error.,termin,einen Termin vereinbaren,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_bestaetigung_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere: Ich brauche ein Bestätigung.,,Ich brauche eine Bestätigung.,"[""Ich brauche eine Bestätigung.""]",die Bestätigung → eine Bestätigung.,bestaetigung,eine Bestätigung,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_unterlagen_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere im Bewerbungskontext: Ich schicke Ihnen die Unterlage für die Bewerbung.,,Ich schicke Ihnen die Unterlagen für die Bewerbung.,"[""Ich schicke Ihnen die Unterlagen für die Bewerbung.""]","In application contexts, „die Unterlagen“ is the usual plural for documents.",unterlagen,die Unterlagen,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_formular_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere: Ich habe den Formular ausgefüllt.,,Ich habe das Formular ausgefüllt.,"[""Ich habe das Formular ausgefüllt.""]",das Formular → das Formular.,formular,das Formular,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_beschwerde_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere: Ich habe ein Beschwerde geschrieben.,,Ich habe eine Beschwerde geschrieben.,"[""Ich habe eine Beschwerde geschrieben.""]",die Beschwerde → eine Beschwerde.,beschwerde,eine Beschwerde,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_lieferung_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere: Die Lieferung sind verspätet.,,Die Lieferung ist verspätet.,"[""Die Lieferung ist verspätet.""]","die Lieferung is singular: ist, not sind.",lieferung,Die Lieferung ist verspätet.,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_bestellung_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere: Ich möchte der Bestellung ändern.,,Ich möchte die Bestellung ändern.,"[""Ich möchte die Bestellung ändern.""]",ändern takes an accusative object: die Bestellung.,bestellung,die Bestellung ändern,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_rechnung_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere: Ich habe den Rechnung bezahlt.,,Ich habe die Rechnung bezahlt.,"[""Ich habe die Rechnung bezahlt.""]",die Rechnung → die Rechnung.,rechnung,die Rechnung,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_geraet_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere: Der Gerät ist kaputt.,,Das Gerät ist kaputt.,"[""Das Gerät ist kaputt.""]",das Gerät → das Gerät.,geraet,das Gerät,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_vocab_rueckmeldung_004,b1-wortschatz.js,,active,normal_auto_graded_or_route_dependent,error_repair,,Korrigiere: Vielen Dank für Ihren Rückmeldung.,,Vielen Dank für Ihre Rückmeldung.,"[""Vielen Dank für Ihre Rückmeldung.""]",die Rückmeldung → Ihre Rückmeldung.,rueckmeldung,Ihre Rückmeldung,feedback_mismatch_risk,medium,no,defer for human review; changing full answer/feedback may touch answer surfaces,EXCEPTION_REVIEW,EXCEPTION_REVIEW,Needs human review before any source change.
b1_cases_articles_nom_acc_masc_002,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,grammar_cloze,typed,Ich sehe ___ Mitarbeiter am Empfang.,Ich sehe den Mitarbeiter am Empfang.,den,"[""den""]",Case: sehen takes an accusative object: den Mitarbeiter.,cases_articles_nom_acc_masc_definite,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_nom_acc_masc_003,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,error_repair,edit_text,Ich sehe der Mitarbeiter am Empfang.,Ich sehe den Mitarbeiter am Empfang.,Ich sehe den Mitarbeiter am Empfang.,"[""Ich sehe den Mitarbeiter am Empfang.""]",sehen takes an accusative object; masculine der changes to den.,cases_articles_nom_acc_masc_definite,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_nom_acc_masc_004,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,multiple_choice,selected_choice_value,Welche Form passt zum direkten Objekt?,Ich rufe den Mitarbeiter an.,Ich rufe den Mitarbeiter an.,"[""Ich rufe den Mitarbeiter an.""]","Direct object: anrufen takes accusative, so der becomes den.",cases_articles_nom_acc_masc_definite,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_acc_direct_001,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,multiple_choice,selected_choice_value,Welche Form passt nach brauchen?,Ich brauche einen Termin.,Ich brauche einen Termin.,"[""Ich brauche einen Termin.""]",brauchen takes an accusative object: einen Termin.,cases_articles_acc_direct_object,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_acc_direct_002,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,grammar_cloze,typed,Wir suchen ___ Wohnung in der Nähe.,Wir suchen eine Wohnung in der Nähe.,eine,"[""eine""]",suchen takes an accusative object; feminine eine stays eine.,cases_articles_acc_direct_object,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_acc_direct_003,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,error_repair,edit_text,Ich kaufe ein Fahrkarte.,Ich kaufe eine Fahrkarte.,Ich kaufe eine Fahrkarte.,"[""Ich kaufe eine Fahrkarte.""]",Fahrkarte is feminine; the accusative form is eine Fahrkarte.,cases_articles_acc_direct_object,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_acc_direct_004,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,multiple_choice,selected_choice_value,Welche Version ist natürlich?,Sie liest den Brief.,Sie liest den Brief.,"[""Sie liest den Brief.""]",lesen takes an accusative object: den Brief.,cases_articles_acc_direct_object,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_fixed_dative_001,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,multiple_choice,selected_choice_value,Welche Form passt nach mit?,Ich fahre mit dem Bus.,Ich fahre mit dem Bus.,"[""Ich fahre mit dem Bus.""]",mit takes dative; masculine Bus uses dem.,cases_articles_fixed_dative_triggers,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_fixed_dative_002,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,grammar_cloze,typed,Der Termin ist bei ___ Ärztin.,Der Termin ist bei der Ärztin.,der,"[""der""]",bei takes dative; feminine die becomes der.,cases_articles_fixed_dative_triggers,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
b1_cases_articles_fixed_dative_003,b1-cases-articles.js,,active,normal_auto_graded_or_route_dependent,error_repair,edit_text,Ich komme nach die Arbeit.,Ich komme nach der Arbeit.,Ich komme nach der Arbeit.,"[""Ich komme nach der Arbeit.""]",nach takes dative in this time phrase: nach der Arbeit.,cases_articles_fixed_dative_triggers,,candidate_from_feedback_field_scan,low,no,no action; feedback already gives a target-specific micro-rule,NO_ACTION_FALSE_POSITIVE,NO_ACTION_FALSE_POSITIVE,Existing feedback is specific enough for this patch.
