bankKey,itemId,itemIdChanged,answerBefore,answerAfter,answerChanged,acceptedBefore,acceptedAfter,acceptedAnswersChanged,choicesChanged,promptChanged,learnerCueBefore,learnerCueAfter
wortschatz,b1_vocab_rezept_003,false,Ich möchte dieses Rezept einlösen.,Ich möchte dieses Rezept einlösen.,false,"[""Ich möchte dieses Rezept einlösen.""]","[""Ich möchte dieses Rezept einlösen.""]",false,false,false,,Which phrase fits in the pharmacy?
wortschatz,b1_vocab_rueckmeldung_003,false,Ich freue mich auf Ihre Rückmeldung.,Ich freue mich auf Ihre Rückmeldung.,false,"[""Ich freue mich auf Ihre Rückmeldung.""]","[""Ich freue mich auf Ihre Rückmeldung.""]",false,false,false,,Which phrase fits well at the end of a polite email?
wortschatz,b1_vocab_stelle_003,false,Ich bewerbe mich um die Stelle als Verkäufer.,Ich bewerbe mich um die Stelle als Verkäufer.,false,"[""Ich bewerbe mich um die Stelle als Verkäufer.""]","[""Ich bewerbe mich um die Stelle als Verkäufer.""]",false,false,false,,Which phrase fits in a job application?
wortschatz,b1_vocab_termin_003,false,Könnten wir den Termin verschieben?,Könnten wir den Termin verschieben?,false,"[""Könnten wir den Termin verschieben?""]","[""Könnten wir den Termin verschieben?""]",false,false,false,,Which phrase fits if you want to change an appointment?
wortschatz,b1_vocab_unterlagen_003,false,Mir fehlen noch die Unterlagen.,Mir fehlen noch die Unterlagen.,false,"[""Mir fehlen noch die Unterlagen.""]","[""Mir fehlen noch die Unterlagen.""]",false,false,false,,Which phrase fits if documents are still missing?
wortschatz,b1_vocab_untersuchung_003,false,Ich komme zur Untersuchung.,Ich komme zur Untersuchung.,false,"[""Ich komme zur Untersuchung.""]","[""Ich komme zur Untersuchung.""]",false,false,false,,Which phrase fits at the doctor's office?
wortschatz,b1_vocab_versicherung_003,false,Übernimmt die Versicherung die Kosten?,Übernimmt die Versicherung die Kosten?,false,"[""Übernimmt die Versicherung die Kosten?""]","[""Übernimmt die Versicherung die Kosten?""]",false,false,false,,Which question fits if you want to know whether the insurance pays?
wortschatz,b1_vocab_vorstellungsgespraech_003,false,Vielen Dank für die Einladung zum Vorstellungsgespräch.,Vielen Dank für die Einladung zum Vorstellungsgespräch.,false,"[""Vielen Dank für die Einladung zum Vorstellungsgespräch.""]","[""Vielen Dank für die Einladung zum Vorstellungsgespräch.""]",false,false,false,,Which phrase fits if you are replying to an invitation?
wortschatz,b1_vocab_zugangsdaten_003,false,Könnten Sie mir die Zugangsdaten bitte noch einmal schicken?,Könnten Sie mir die Zugangsdaten bitte noch einmal schicken?,false,"[""Könnten Sie mir die Zugangsdaten bitte noch einmal schicken?""]","[""Könnten Sie mir die Zugangsdaten bitte noch einmal schicken?""]",false,false,false,,Which phrase fits if you need your login details?
b1_m01,v080149_cat02_contrast_cat02_cs_013,false,zeigen,zeigen,false,"[""zeigen""]","[""zeigen""]",false,false,true,show vs find,Show something to someone.
