itemId,sourceFile,routeOrModule,itemType,currentPrompt,currentStimulus,currentAnswer,issueType,issueSeverity,reason,recommendedAction,normalPracticeEligible,reviewStatus
v080149_cat02_practice_family_cat02_pf_015,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich suche den ___.,Ich suche den ___.,Pausenraum,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_016,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich warte am ___.,Ich warte am ___.,Empfang,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_017,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich gehe zum ___.,Ich gehe zum ___.,Sekretariat,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_018,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Wer ist der richtige ___?,Wer ist der richtige ___?,Ansprechpartner,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_019,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,An wen kann ich mich ___?,An wen kann ich mich ___?,wenden,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_021,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Können Sie das bitte ___?,Können Sie das bitte ___?,wiederholen,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_022,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Könnten Sie bitte langsamer ___?,Könnten Sie bitte langsamer ___?,sprechen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_023,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich habe das noch nicht ___.,Ich habe das noch nicht ___.,verstanden,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_024,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Was ___ dieses Wort?,Was ___ dieses Wort?,bedeutet,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_026,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Können Sie das bitte ___?,Können Sie das bitte ___?,buchstabieren,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_027,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Können Sie mir ein Beispiel ___?,Können Sie mir ein Beispiel ___?,geben,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_028,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich habe noch eine ___.,Ich habe noch eine ___.,Frage,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_029,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich möchte kurz ___.,Ich möchte kurz ___.,nachfragen,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_030,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich kann das auf Deutsch noch nicht gut ___.,Ich kann das auf Deutsch noch nicht gut ___.,erklären,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_031,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich mache mir kurz ___.,Ich mache mir kurz ___.,Notizen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_032,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich will es nicht vergessen. Ich notiere mir ___.,Ich will es nicht vergessen. Ich notiere mir ___.,das,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_033,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich brauche bitte die ___.,Ich brauche bitte die ___.,Unterlagen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_034,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich brauche einen ___.,Ich brauche einen ___.,Stift,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_035,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Soll ich das Formular ___?,Soll ich das Formular ___?,ausfüllen,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_036,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Muss ich hier etwas ___?,Muss ich hier etwas ___?,ankreuzen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_037,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich gebe das Arbeitsblatt später ___.,Ich gebe das Arbeitsblatt später ___.,ab,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_038,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich bringe die Unterlagen morgen ___.,Ich bringe die Unterlagen morgen ___.,mit,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_039,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Soll ich meinen Ausweis ___?,Soll ich meinen Ausweis ___?,zeigen,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_040,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich brauche Hilfe mit dem ___.,Ich brauche Hilfe mit dem ___.,Login,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_041,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich kann mich nicht ___.,Ich kann mich nicht ___.,anmelden,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_042,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Mein Passwort funktioniert ___.,Mein Passwort funktioniert ___.,nicht,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_043,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Der Unterricht ___ um acht Uhr.,Der Unterricht ___ um acht Uhr.,beginnt,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_044,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Die Pause ist ___ zehn Uhr.,Die Pause ist ___ zehn Uhr.,um,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_045,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Arbeiten wir allein oder in der ___?,Arbeiten wir allein oder in der ___?,Gruppe,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_046,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich nehme am Kurs ___.,Ich nehme am Kurs ___.,teil,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_047,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich mache bei der Übung ___.,Ich mache bei der Übung ___.,mit,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_048,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich bin mit der Aufgabe ___.,Ich bin mit der Aufgabe ___.,fertig,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_049,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich brauche noch etwas ___.,Ich brauche noch etwas ___.,Zeit,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_050,content/b1-m01-variant-families.js,b1_m01,vocab_cloze,Ich habe noch keine Erfahrung mit dem ___.,Ich habe noch keine Erfahrung mit dem ___.,Programm,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_practice_family_cat02_pf_062,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Das Arbeitsblatt ist fertig. Welche Aktion passt?,Das Arbeitsblatt ist fertig. Welche Aktion passt?,C,choice_internal_label_artifact,medium,internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_wortschatz_cat02_w_076,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welches Wort passt? hand in,,abgeben,choice_internal_label_artifact,medium,Excluded from normal practice by existing safeguards.,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_wortschatz_cat02_w_077,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welches Wort passt? bring along,,mitbringen,choice_internal_label_artifact,medium,internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat02_wortschatz_cat02_w_078,content/b1-m01-variant-families.js,b1_m01,multiple_choice,Welches Wort passt? show,,zeigen,choice_internal_label_artifact,medium,Excluded from normal practice by existing safeguards.,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_collocation_cat01_coll_008,content/b1-m02-appointments-callbacks.js,b1_m02,multiple_choice,Welche Kollokation passt? the appointment takes place,Welche Kollokation passt? the appointment takes place,der Termin findet statt,choice_internal_label_artifact,medium,internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_collocation_cat01_coll_017,content/b1-m02-appointments-callbacks.js,b1_m02,multiple_choice,Welche Kollokation passt? bring documents,Welche Kollokation passt? bring documents,Unterlagen mitbringen,choice_internal_label_artifact,medium,internal_label_sanitised,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_007,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich ___ am Montag ab 14 Uhr Zeit.,Ich ___ am Montag ab 14 Uhr Zeit.,hätte,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_008,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Mir ___ Mittwoch gut passen.,Mir ___ Mittwoch gut passen.,würde,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_016,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich kann heute leider nicht ___.,Ich kann heute leider nicht ___.,kommen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_017,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich bin leider ___.,Ich bin leider ___.,verhindert,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_022,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Können Sie mir das bitte ___ bestätigen?,Können Sie mir das bitte ___ bestätigen?,schriftlich,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_023,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Könnten Sie mich bitte ___?,Könnten Sie mich bitte ___?,zurückrufen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_024,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich bitte um ___.,Ich bitte um ___.,Rückruf,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_026,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Sie ___ mich unter dieser Nummer.,Sie ___ mich unter dieser Nummer.,erreichen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_027,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich bin heute bis 16 Uhr ___.,Ich bin heute bis 16 Uhr ___.,erreichbar,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_029,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Wann kann ich Sie am besten ___?,Wann kann ich Sie am besten ___?,erreichen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_030,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Kann ich eine Nachricht ___?,Kann ich eine Nachricht ___?,hinterlassen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_032,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Leider habe ich Ihren Anruf ___.,Leider habe ich Ihren Anruf ___.,verpasst,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_034,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich habe Ihnen eine Nachricht ___.,Ich habe Ihnen eine Nachricht ___.,hinterlassen,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_035,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich leite Ihre Nachricht ___.,Ich leite Ihre Nachricht ___.,weiter,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_036,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,"Einen Moment bitte, ich stelle Sie ___.","Einen Moment bitte, ich stelle Sie ___.",durch,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_037,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Die Leitung ist gerade ___.,Die Leitung ist gerade ___.,besetzt,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_038,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Herr Becker ist gerade nicht ___.,Herr Becker ist gerade nicht ___.,erreichbar,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_039,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich komme etwa zehn Minuten ___.,Ich komme etwa zehn Minuten ___.,später,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_041,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Welche Unterlagen soll ich ___?,Welche Unterlagen soll ich ___?,mitbringen,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_042,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Soll ich meinen Ausweis ___?,Soll ich meinen Ausweis ___?,mitbringen,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,medium,internal_label_sanitised;cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_047,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich bin heute ___ 16 Uhr erreichbar.,Ich bin heute ___ 16 Uhr erreichbar.,bis,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
v080149_cat01_practice_family_cat01_pf_048,content/b1-m02-appointments-callbacks.js,b1_m02,vocab_cloze,Ich habe morgen ___ 14 Uhr Zeit.,Ich habe morgen ___ 14 Uhr Zeit.,ab,cloze_needs_review;normal_practice_excluded_by_display_schema,medium,cloze_needs_review;normal_practice_excluded_by_display_schema,Human review or source-safe cue rewrite.,false,queued
