itemId,sourceFile,issueClass,classification,reason,changedInV087
b1_redemittel_027,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_028,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_029,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_030,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_031,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_032,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_033,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_034,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_035,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_036,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_037,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_038,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_039,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_040,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_041,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_042,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_043,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_044,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_045,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_046,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_047,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_048,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_049,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_050,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_051,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_052,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_053,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_054,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_055,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_056,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_057,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_058,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_059,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_060,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_061,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_062,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_063,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_064,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_065,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_066,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_067,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_068,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_069,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_070,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_071,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_072,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_073,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_074,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_075,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_076,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_077,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_078,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_079,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_080,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_081,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_082,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_083,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_084,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_085,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_086,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_087,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_088,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_089,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
b1_redemittel_090,content/b1-redemittel.js,none,NO_ACTION,No Redemittel completion action needed.,false
