sourceIssueType,issueType,bankKey,itemId,afterStatus,afterIssues,sourcePrompt,sourceCue,recommendedAction
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_001,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,Welche Form passt zu `Kurs vs Unterricht`? | Kurs vs Unterricht,Kurs vs Unterricht,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_001,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,"Welche Form passt zu `Kurs vs Unterricht`? | Kurs vs Unterricht | `Kurs` is the whole course. | Kurs | Kurs | `Kurs` is the whole course. Check the nearby contrast, not just a related word.",Kurs vs Unterricht,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_001,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,"Welche Form passt zu `Kurs vs Unterricht`? | Kurs vs Unterricht | `Kurs` is the whole course. | Kurs | Kurs | `Kurs` is the whole course. Check the nearby contrast, not just a related word.",Kurs vs Unterricht,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_002,active-normal,,Welche Form passt zu `course people`? | course people,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_002,active-normal,,"Welche Form passt zu `course people`? | course people | The course leader leads the course. | Kursleiterin | Kursleiterin | The course leader leads the course. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_003,active-normal,,Welche Form passt zu `workplace people`? | workplace people,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_003,active-normal,,"Welche Form passt zu `workplace people`? | workplace people | A colleague is a workplace peer. | Kollege | Kollege | A colleague is a workplace peer. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_004,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,Welche Form passt zu `reception vs entrance`? | reception vs entrance,reception vs entrance,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_004,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,"Welche Form passt zu `reception vs entrance`? | reception vs entrance | `Empfang` is the reception desk. | Empfang | Empfang | `Empfang` is the reception desk. Check the nearby contrast, not just a related word.",reception vs entrance,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_004,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,"Welche Form passt zu `reception vs entrance`? | reception vs entrance | `Empfang` is the reception desk. | Empfang | Empfang | `Empfang` is the reception desk. Check the nearby contrast, not just a related word.",reception vs entrance,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_005,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,Welche Form passt zu `entrance and exit`? | entrance and exit,entrance and exit,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_005,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,"Welche Form passt zu `entrance and exit`? | entrance and exit | `Eingang` is entrance. | Eingang | Eingang | `Eingang` is entrance. Check the nearby contrast, not just a related word.",entrance and exit,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_006,active-normal,,Welche Form passt zu `room words`? | room words,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_006,active-normal,,"Welche Form passt zu `room words`? | room words | The course room is for the course. | Kursraum | Kursraum | The course room is for the course. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_007,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,Welche Form passt zu `ask vs ask again`? | ask vs ask again,ask vs ask again,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_007,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,"Welche Form passt zu `ask vs ask again`? | ask vs ask again | `nachfragen` means ask/check again. | nachfragen | nachfragen | `nachfragen` means ask/check again. Check the nearby contrast, not just a related word.",ask vs ask again,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_007,review,internal_label_sanitised|prompt_internal_label_sanitised|internal_label_visible|meaning_choice_cue_missing,"Welche Form passt zu `ask vs ask again`? | ask vs ask again | `nachfragen` means ask/check again. | nachfragen | nachfragen | `nachfragen` means ask/check again. Check the nearby contrast, not just a related word.",ask vs ask again,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_008,active-normal,,Welche Form passt zu `repeat/explain/spell`? | repeat/explain/spell,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_008,active-normal,,"Welche Form passt zu `repeat/explain/spell`? | repeat/explain/spell | Repeat means say it again. | wiederholen | wiederholen | Repeat means say it again. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_009,active,internal_label_sanitised|prompt_internal_label_sanitised,Welche Form passt zu `bring vs hand in`? | bring vs hand in,bring vs hand in,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_009,active,internal_label_sanitised|prompt_internal_label_sanitised,"Welche Form passt zu `bring vs hand in`? | bring vs hand in | Bring along to the place. | mitbringen | mitbringen | Bring along to the place. Check the nearby contrast, not just a related word.",bring vs hand in,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_009,active,internal_label_sanitised|prompt_internal_label_sanitised,"Welche Form passt zu `bring vs hand in`? | bring vs hand in | Bring along to the place. | mitbringen | mitbringen | Bring along to the place. Check the nearby contrast, not just a related word.",bring vs hand in,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_010,active-normal,,Welche Form passt zu `fill vs tick`? | fill vs tick,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_010,active-normal,,"Welche Form passt zu `fill vs tick`? | fill vs tick | Fill in a whole form/field. | ausfüllen | ausfüllen | Fill in a whole form/field. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_010,active-normal,,"Welche Form passt zu `fill vs tick`? | fill vs tick | Fill in a whole form/field. | ausfüllen | ausfüllen | Fill in a whole form/field. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_011,active,internal_label_sanitised|prompt_internal_label_sanitised,Welche Form passt zu `register vs participate`? | register vs participate,register vs participate,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_011,active,internal_label_sanitised|prompt_internal_label_sanitised,"Welche Form passt zu `register vs participate`? | register vs participate | Participate in the course/activity. | teilnehmen | teilnehmen | Participate in the course/activity. Check the nearby contrast, not just a related word.",register vs participate,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_011,active,internal_label_sanitised|prompt_internal_label_sanitised,"Welche Form passt zu `register vs participate`? | register vs participate | Participate in the course/activity. | teilnehmen | teilnehmen | Participate in the course/activity. Check the nearby contrast, not just a related word.",register vs participate,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_012,active-normal,,Welche Form passt zu `brauchen vs haben`? | brauchen vs haben,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_012,active-normal,,"Welche Form passt zu `brauchen vs haben`? | brauchen vs haben | Need states a requirement. | Ich brauche einen Stift. | Ich brauche einen Stift. | Need states a requirement. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_012,active-normal,,"Welche Form passt zu `brauchen vs haben`? | brauchen vs haben | Need states a requirement. | Ich brauche einen Stift. | Ich brauche einen Stift. | Need states a requirement. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_013,active,internal_label_sanitised,Welche Form passt zu `show vs find`? | show vs find,Show something to someone.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_013,active,internal_label_sanitised,"Welche Form passt zu `show vs find`? | show vs find | Show something to someone. | zeigen | zeigen | Show something to someone. Check the nearby contrast, not just a related word.",Show something to someone.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_013,active,internal_label_sanitised,"Welche Form passt zu `show vs find`? | show vs find | Show something to someone. | zeigen | zeigen | Show something to someone. Check the nearby contrast, not just a related word.",Show something to someone.,Source cleanup batch should rewrite/import safe learner-facing cue/display fields.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_014,active-normal,,Welche Form passt zu `finished vs still need time`? | finished vs still need time,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_014,active-normal,,"Welche Form passt zu `finished vs still need time`? | finished vs still need time | Finished means task is done. | Ich bin fertig. | Ich bin fertig. | Finished means task is done. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_014,active-normal,,"Welche Form passt zu `finished vs still need time`? | finished vs still need time | Finished means task is done. | Ich bin fertig. | Ich bin fertig. | Finished means task is done. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,rendered_prompt_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_015,active-normal,,Welche Form passt zu `Deutschkenntnisse vs Deutschniveau`? | Deutschkenntnisse vs Deutschniveau,,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_backtick_or_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_015,active-normal,,"Welche Form passt zu `Deutschkenntnisse vs Deutschniveau`? | Deutschkenntnisse vs Deutschniveau | Skills/knowledge of German. | Deutschkenntnisse | Deutschkenntnisse | Skills/knowledge of German. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
prompt_cue,raw_x_vs_y_internal_label,b1_m01,v080149_cat02_contrast_cat02_cs_015,active-normal,,"Welche Form passt zu `Deutschkenntnisse vs Deutschniveau`? | Deutschkenntnisse vs Deutschniveau | Skills/knowledge of German. | Deutschkenntnisse | Deutschkenntnisse | Skills/knowledge of German. Check the nearby contrast, not just a related word.",,Non-blocking source cleanup candidate; runtime guard already prevents learner-facing leakage.
