itemId,sourceFile,sourceRowId,moduleKey,categoryId,routeKey,taskType,answerMode,responseSurface,communicativeFunction,register,targetFamily,reviewGroup,normalPracticeEligible,normalAutoGradedPracticeEligible,activeB1Evidence,reviewOnly,v02ApplyGateStatus,productionFlag,hasPrompt,hasStimulus,hasChoices,hasAnswer,hasFeedback,hasFunctionCue,safeForAutoGradedRedemittel,safeForProductionRoute,blockedReason,recommendedAction
b1_redemittel_018,content/b1-redemittel.js,b1_redemittel_018,redemittel,appointment,redemittel,redemittel_cloze,typed,cloze,appointment,neutral,red_appointment_cancel,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_019,content/b1-redemittel.js,b1_redemittel_019,redemittel,appointment,redemittel,redemittel_cloze,typed,cloze,appointment,neutral,red_appointment_fit,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_020,content/b1-redemittel.js,b1_redemittel_020,redemittel,appointment,redemittel,redemittel_cloze,typed,cloze,appointment,neutral,red_appointment_other,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_021,content/b1-redemittel.js,b1_redemittel_021,redemittel,appointment,redemittel,redemittel_cloze,typed,cloze,appointment,neutral,red_appointment_move,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_022,content/b1-redemittel.js,b1_redemittel_022,redemittel,appointment,redemittel,redemittel_cloze,typed,cloze,appointment,neutral,red_appointment_time,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_023,content/b1-redemittel.js,b1_redemittel_023,redemittel,appointment,redemittel,phrase_choice,selected_or_typed,choice,appointment,neutral,red_appointment_arrange,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_024,content/b1-redemittel.js,b1_redemittel_024,redemittel,appointment,redemittel,phrase_choice,selected_or_typed,choice,appointment,neutral,red_appointment_other,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_025,content/b1-redemittel.js,b1_redemittel_025,redemittel,appointment,redemittel,Kontrast,selected_choice_value,choice,appointment,neutral,red_appointment_arrange,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_026,content/b1-redemittel.js,b1_redemittel_026,redemittel,appointment,redemittel,Kontrast,selected_choice_value,choice,appointment,neutral,red_appointment_fit,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_027,content/b1-redemittel.js,b1_redemittel_027,redemittel,appointment,redemittel,redemittel_cloze,typed,cloze,appointment,neutral,red_appointment_time,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_028,content/b1-redemittel.js,b1_redemittel_028,redemittel,request,redemittel,redemittel_cloze,typed,cloze,request,polite,red_request_help,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_029,content/b1-redemittel.js,b1_redemittel_029,redemittel,request,redemittel,redemittel_cloze,typed,cloze,request,polite,red_request_help,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_030,content/b1-redemittel.js,b1_redemittel_030,redemittel,request,redemittel,redemittel_cloze,typed,cloze,request,polite,red_request_callback,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_031,content/b1-redemittel.js,b1_redemittel_031,redemittel,request,redemittel,redemittel_cloze,typed,cloze,request,polite,red_request_info,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_032,content/b1-redemittel.js,b1_redemittel_032,redemittel,request,redemittel,redemittel_cloze,typed,cloze,request,polite,red_request_inquire,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_033,content/b1-redemittel.js,b1_redemittel_033,redemittel,request,redemittel,redemittel_cloze,typed,cloze,request,polite,red_request_documents,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_034,content/b1-redemittel.js,b1_redemittel_034,redemittel,request,redemittel,redemittel_cloze,typed,cloze,request,polite,red_request_info,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_035,content/b1-redemittel.js,b1_redemittel_035,redemittel,request,redemittel,phrase_choice,selected_or_typed,choice,request,polite,red_request_help,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_036,content/b1-redemittel.js,b1_redemittel_036,redemittel,request,redemittel,phrase_choice,selected_or_typed,choice,request,polite,red_request_callback,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_037,content/b1-redemittel.js,b1_redemittel_037,redemittel,request,redemittel,Kontrast,selected_choice_value,choice,request,polite,red_request_inquire,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_038,content/b1-redemittel.js,b1_redemittel_038,redemittel,request,redemittel,Kontrast,selected_choice_value,choice,request,polite,red_request_documents,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_039,content/b1-redemittel.js,b1_redemittel_039,redemittel,request,redemittel,redemittel_cloze,typed,cloze,request,polite,red_request_info,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_040,content/b1-redemittel.js,b1_redemittel_040,redemittel,complaint,redemittel,redemittel_cloze,typed,cloze,complaint,neutral,red_complaint_problem,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_041,content/b1-redemittel.js,b1_redemittel_041,redemittel,complaint,redemittel,redemittel_cloze,typed,cloze,complaint,neutral,red_complaint_complain,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_042,content/b1-redemittel.js,b1_redemittel_042,redemittel,complaint,redemittel,redemittel_cloze,typed,cloze,complaint,neutral,red_complaint_delivery,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_043,content/b1-redemittel.js,b1_redemittel_043,redemittel,complaint,redemittel,redemittel_cloze,typed,cloze,complaint,neutral,red_complaint_device,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_044,content/b1-redemittel.js,b1_redemittel_044,redemittel,complaint,redemittel,redemittel_cloze,typed,cloze,complaint,neutral,red_complaint_solution,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_045,content/b1-redemittel.js,b1_redemittel_045,redemittel,complaint,redemittel,redemittel_cloze,typed,cloze,complaint,neutral,red_complaint_check,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_046,content/b1-redemittel.js,b1_redemittel_046,redemittel,complaint,redemittel,redemittel_cloze,typed,cloze,complaint,neutral,red_complaint_delivery,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_047,content/b1-redemittel.js,b1_redemittel_047,redemittel,complaint,redemittel,Kontrast,selected_choice_value,choice,complaint,neutral,red_complaint_problem,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_048,content/b1-redemittel.js,b1_redemittel_048,redemittel,complaint,redemittel,phrase_choice,selected_or_typed,choice,complaint,neutral,red_complaint_solution,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_049,content/b1-redemittel.js,b1_redemittel_049,redemittel,complaint,redemittel,Kontrast,selected_choice_value,choice,complaint,neutral,red_complaint_complain,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_050,content/b1-redemittel.js,b1_redemittel_050,redemittel,complaint,redemittel,Kontrast,selected_choice_value,choice,complaint,neutral,red_complaint_check,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_051,content/b1-redemittel.js,b1_redemittel_051,redemittel,complaint,redemittel,redemittel_cloze,typed,cloze,complaint,neutral,red_complaint_delivery,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_052,content/b1-redemittel.js,b1_redemittel_052,redemittel,application,redemittel,redemittel_cloze,typed,cloze,application,neutral,red_application_apply,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_053,content/b1-redemittel.js,b1_redemittel_053,redemittel,application,redemittel,redemittel_cloze,typed,cloze,application,neutral,red_application_interest,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_054,content/b1-redemittel.js,b1_redemittel_054,redemittel,application,redemittel,redemittel_cloze,typed,cloze,application,neutral,red_application_experience,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_055,content/b1-redemittel.js,b1_redemittel_055,redemittel,application,redemittel,redemittel_cloze,typed,cloze,application,neutral,red_application_work,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_056,content/b1-redemittel.js,b1_redemittel_056,redemittel,application,redemittel,redemittel_cloze,typed,cloze,application,neutral,red_application_interview,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_057,content/b1-redemittel.js,b1_redemittel_057,redemittel,application,redemittel,redemittel_cloze,typed,cloze,application,neutral,red_application_interest,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_058,content/b1-redemittel.js,b1_redemittel_058,redemittel,application,redemittel,redemittel_cloze,typed,cloze,application,neutral,red_application_strengths,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_059,content/b1-redemittel.js,b1_redemittel_059,redemittel,application,redemittel,phrase_choice,selected_or_typed,choice,application,neutral,red_application_apply,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_060,content/b1-redemittel.js,b1_redemittel_060,redemittel,application,redemittel,phrase_choice,selected_or_typed,choice,application,neutral,red_application_interview,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_061,content/b1-redemittel.js,b1_redemittel_061,redemittel,application,redemittel,Kontrast,selected_choice_value,choice,application,neutral,red_application_interest,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_062,content/b1-redemittel.js,b1_redemittel_062,redemittel,application,redemittel,Kontrast,selected_choice_value,choice,application,neutral,red_application_experience,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_063,content/b1-redemittel.js,b1_redemittel_063,redemittel,application,redemittel,redemittel_cloze,typed,cloze,application,neutral,red_application_strengths,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_064,content/b1-redemittel.js,b1_redemittel_064,redemittel,illness_absence,redemittel,redemittel_cloze,typed,cloze,illness/absence,neutral,red_illness_absent,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_065,content/b1-redemittel.js,b1_redemittel_065,redemittel,illness_absence,redemittel,redemittel_cloze,typed,cloze,illness/absence,neutral,red_illness_note,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_066,content/b1-redemittel.js,b1_redemittel_066,redemittel,illness_absence,redemittel,redemittel_cloze,typed,cloze,illness/absence,neutral,red_illness_doctor,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_067,content/b1-redemittel.js,b1_redemittel_067,redemittel,illness_absence,redemittel,redemittel_cloze,typed,cloze,illness/absence,neutral,red_illness_insurance,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_068,content/b1-redemittel.js,b1_redemittel_068,redemittel,illness_absence,redemittel,redemittel_cloze,typed,cloze,illness/absence,neutral,red_illness_return,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_069,content/b1-redemittel.js,b1_redemittel_069,redemittel,illness_absence,redemittel,redemittel_cloze,typed,cloze,illness/absence,neutral,red_illness_absent,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_070,content/b1-redemittel.js,b1_redemittel_070,redemittel,illness_absence,redemittel,phrase_choice,selected_or_typed,choice,illness/absence,neutral,red_illness_absent,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_071,content/b1-redemittel.js,b1_redemittel_071,redemittel,illness_absence,redemittel,phrase_choice,selected_or_typed,choice,illness/absence,neutral,red_illness_insurance,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_072,content/b1-redemittel.js,b1_redemittel_072,redemittel,illness_absence,redemittel,Kontrast,selected_choice_value,choice,illness/absence,neutral,red_illness_doctor,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_073,content/b1-redemittel.js,b1_redemittel_073,redemittel,illness_absence,redemittel,Kontrast,selected_choice_value,choice,illness/absence,neutral,red_illness_return,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_074,content/b1-redemittel.js,b1_redemittel_074,redemittel,polite_requests,redemittel,redemittel_cloze,typed,cloze,polite request,polite/formal,red_polite_wuerde,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_075,content/b1-redemittel.js,b1_redemittel_075,redemittel,polite_requests,redemittel,redemittel_cloze,typed,cloze,polite request,polite/formal,red_polite_haette,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_076,content/b1-redemittel.js,b1_redemittel_076,redemittel,polite_requests,redemittel,redemittel_cloze,typed,cloze,polite request,polite/formal,red_polite_koennten,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_077,content/b1-redemittel.js,b1_redemittel_077,redemittel,polite_requests,redemittel,redemittel_cloze,typed,cloze,polite request,polite/formal,red_polite_waere,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_078,content/b1-redemittel.js,b1_redemittel_078,redemittel,polite_requests,redemittel,redemittel_cloze,typed,cloze,polite request,polite/formal,red_polite_duerfte,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_079,content/b1-redemittel.js,b1_redemittel_079,redemittel,polite_requests,redemittel,phrase_choice,selected_or_typed,choice,polite request,polite/formal,red_polite_koennten,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_080,content/b1-redemittel.js,b1_redemittel_080,redemittel,polite_requests,redemittel,phrase_choice,selected_or_typed,choice,polite request,polite/formal,red_polite_waere,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_081,content/b1-redemittel.js,b1_redemittel_081,redemittel,polite_requests,redemittel,Kontrast,selected_choice_value,choice,polite request,polite/formal,red_polite_haette,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_082,content/b1-redemittel.js,b1_redemittel_082,redemittel,polite_requests,redemittel,Kontrast,selected_choice_value,choice,polite request,polite/formal,red_polite_koennten,,true,true,true,false,,false,true,true,true,true,true,true,true,false,,NO_ACTION
b1_redemittel_083,content/b1-redemittel.js,b1_redemittel_083,redemittel,polite_requests,redemittel,redemittel_cloze,typed,cloze,polite request,polite/formal,red_polite_wuerde,,true,true,true,false,,false,true,true,false,true,true,true,true,false,,NO_ACTION
b1_redemittel_084,content/b1-redemittel.js,b1_redemittel_084,redemittel,production,redemittel,production_card,self_marked,production,production,neutral,red_prod_appointment,,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,false,true,true,true,false,true,,NO_ACTION
b1_redemittel_085,content/b1-redemittel.js,b1_redemittel_085,redemittel,production,redemittel,production_card,self_marked,production,production,formal,red_prod_email,,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,false,true,true,true,false,true,,NO_ACTION
b1_redemittel_086,content/b1-redemittel.js,b1_redemittel_086,redemittel,production,redemittel,production_card,self_marked,production,production,neutral,red_prod_illness,,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,false,true,true,true,false,true,,NO_ACTION
b1_redemittel_087,content/b1-redemittel.js,b1_redemittel_087,redemittel,production,redemittel,production_card,self_marked,production,production,neutral,red_prod_complaint,,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,false,true,true,true,false,true,,NO_ACTION
b1_redemittel_088,content/b1-redemittel.js,b1_redemittel_088,redemittel,production,redemittel,production_card,self_marked,production,production,neutral,red_prod_application,,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,false,true,true,true,false,true,,NO_ACTION
b1_redemittel_089,content/b1-redemittel.js,b1_redemittel_089,redemittel,production,redemittel,production_card,self_marked,production,production,polite,red_prod_request,,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,false,true,true,true,false,true,,NO_ACTION
b1_redemittel_090,content/b1-redemittel.js,b1_redemittel_090,redemittel,production,redemittel,production_card,self_marked,production,production,polite,red_prod_information,,true,false,true,false,production_isolated_v0_85_6a_2,true,true,true,false,true,true,true,false,true,,NO_ACTION
